Atom: 39
Frequency   X       Y       Z       IR      Raman
315.8273  0.00  0.00  -0.00  42.5856  4.7913
321.3342  0.01  0.01  -0.00  23.0365  12.5726
327.5747  0.00  -0.00  -0.01  23.7842  0.7582
333.9742  -0.00  0.00  0.00  4.5892  1.5413
339.4001  0.00  0.00  0.00  13.8071  2.6987
342.0810  0.01  -0.01  -0.02  46.9471  2.5125
345.1928  0.00  -0.00  -0.01  26.2091  3.533
355.8556  0.00  -0.01  -0.02  22.2637  2.9791
361.4784  0.00  -0.00  0.01  11.3854  1.329
367.6542  -0.00  0.00  -0.00  1.7879  4.2776
371.5828  -0.01  0.01  0.00  49.9284  6.2741
377.2899  -0.00  -0.00  0.01  30.9981  0.933
386.8917  -0.01  -0.01  -0.01  31.6086  7.4747
397.9909  -0.00  -0.00  -0.02  86.6435  1.7011
410.1815  0.00  0.00  -0.00  11.1694  0.863
419.1479  -0.01  -0.01  0.00  95.7187  4.9561
424.0494  -0.00  -0.00  -0.00  51.1699  5.0673
454.1395  0.00  -0.00  -0.00  102.5505  12.7464
470.5574  0.00  -0.00  -0.01  31.4  33.2861
477.4909  0.00  0.00  0.00  58.4357  1.901
484.9561  -0.00  0.00  0.00  121.6311  9.0403
492.6857  0.00  -0.00  0.00  19.1419  0.8968
501.9024  0.00  0.01  0.00  24.8121  5.2634
506.6613  0.00  0.01  -0.00  12.5216  13.451
518.5540  0.00  0.01  -0.00  76.9893  16.6437
526.0802  -0.00  -0.00  0.00  11.0684  25.5746
535.3295  -0.00  0.00  0.00  109.7377  3.3568
543.0094  -0.00  0.00  0.00  15.4095  3.3084
550.4863  0.00  -0.00  -0.00  387.2589  1.5895
559.3633  0.00  -0.00  -0.00  115.5749  9.7872
564.5548  0.00  -0.00  0.00  24.9338  7.4255
569.5518  -0.00  0.00  -0.00  0.4876  3.4495
574.9651  0.00  0.00  -0.00  8.3345  18.3783
577.9857  0.00  0.00  0.00  96.2915  2.9178
580.2429  0.00  0.00  0.00  34.8009  0.9946
586.1692  -0.00  -0.00  0.00  54.468  7.677
590.6227  -0.00  -0.00  0.00  26.5789  2.9023
591.7675  -0.00  -0.00  -0.00  8.1763  2.1557
592.9778  -0.00  -0.00  -0.00  80.6954  11.2959
