Atom: 39
Frequency   X       Y       Z       IR      Raman
566.6883  0.01  0.04  0.03  30.4764  0.8802
569.4081  0.02  0.07  0.05  148.6591  6.4201
573.6784  -0.03  -0.12  -0.10  76.8514  16.6877
583.1128  -0.01  0.01  0.02  210.9524  2.6542
585.8526  0.01  0.01  0.01  12.695  2.0659
594.8459  0.01  0.01  0.01  13.2342  1.7613
596.5926  0.00  0.01  0.01  46.8986  1.4084
597.6731  0.01  0.01  0.01  6.3672  1.5318
600.3821  0.01  0.01  0.01  18.5036  2.0797
606.7735  -0.00  -0.01  -0.01  4.9913  4.3613
607.9293  -0.00  0.01  0.01  162.1689  8.2157
625.7653  -0.00  0.00  0.01  17.78  1.1343
628.8164  -0.00  -0.01  -0.02  111.5049  15.5283
629.5259  0.00  0.03  0.03  111.0132  9.7796
638.6000  -0.00  0.00  0.01  64.1565  9.0496
646.2814  -0.01  -0.00  0.01  6.8372  8.954
648.0201  0.00  0.02  0.02  39.7696  20.2797
649.6329  -0.00  -0.01  -0.01  27.234  12.904
650.0405  -0.01  -0.00  0.01  2.9487  14.856
651.1026  -0.01  0.02  0.00  23.1154  17.46
653.4535  -0.01  -0.02  -0.01  92.6404  22.2474
663.5839  -0.01  -0.00  0.01  40.1896  3.2971
665.4321  -0.01  0.02  0.00  84.2629  6.5905
666.7787  -0.01  -0.00  0.01  5.4683  0.3444
668.7916  -0.01  -0.00  0.01  13.5164  3.4033
669.0299  -0.01  0.02  0.00  44.1459  6.8514
676.6130  -0.01  -0.00  0.01  139.5272  32.7697
699.0195  0.00  -0.01  -0.00  19.5423  2.0891
702.3344  -0.01  0.02  0.00  0.7821  1.5424
739.0523  0.03  -0.05  0.00  5.1652  1.2239

Atom: 45
Frequency   X       Y       Z       IR      Raman
200.6553  0.02  -0.01  -0.07  3.164  4.1247
202.1960  -0.04  0.02  0.05  2.8849  0.5179
204.7517  -0.04  0.03  0.04  1.6613  0.3163
211.1029  0.05  0.01  -0.07  1.1216  0.3722
213.7703  -0.06  -0.03  0.07  0.8042  1.1774
214.8466  -0.04  0.03  0.04  7.8489  2.5703
224.4366  -0.01  -0.01  0.00  4.0156  2.3087
227.7777  -0.01  0.03  -0.01  24.8681  0.4242
233.8974  -0.05  0.02  0.08  7.0931  3.6788
235.4437  0.03  -0.06  -0.09  9.69  2.713
239.9815  0.03  -0.03  -0.11  5.1375  3.0577
247.0492  -0.03  -0.03  0.05  30.3467  3.9195
250.4028  0.05  -0.00  -0.09  8.5645  1.3905
255.7048  0.02  -0.00  -0.05  9.7569  1.2799
262.2922  -0.01  -0.02  0.01  10.0861  6.3157
264.9277  0.01  -0.00  -0.01  8.4392  2.0707
265.9583  0.00  -0.00  -0.02  10.2567  0.9106
266.9208  0.01  -0.01  -0.01  14.7274  1.1849
269.5511  0.01  0.00  -0.03  3.7655  6.318
278.4852  -0.01  -0.01  0.02  43.387  2.7547
280.5695  -0.00  -0.01  -0.00  17.3544  2.1341
282.7175  -0.00  -0.01  0.01  36.157  1.6875
286.8719  -0.01  -0.01  0.02  28.8234  2.5816
299.7976  -0.00  -0.01  0.01  13.464  2.2319
301.7082  0.02  0.02  -0.02  7.2054  6.8134
302.7576  -0.01  -0.01  0.00  8.46  0.4751
309.6594  0.00  -0.01  -0.00  12.4083  8.0858
317.4359  0.02  0.02  -0.02  9.3946  4.1573
320.0419  -0.01  -0.01  0.00  5.6405  1.2022
329.2068  -0.01  -0.00  0.01  2.7421  1.9588
332.8589  0.01  -0.01  -0.02  2.6131  1.5035
336.3553  -0.00  0.01  0.01  15.512  2.4882
