Energy (eV)	Intensity
9001.08	     0
9001.08	     0
9001.08	     0
9001.08	     0
9001.08	2.69992
9001.08	     0
9001.21	     0
9001.21	     0
9001.21	     0
9001.21	     0
9001.21	0.821423
9001.21	     0
9001.27	     0
9001.27	     0
9001.27	     0
9001.27	     0
9001.27	4.12204
9001.27	     0
9001.38	     0
9001.38	     0
9001.38	     0
9001.38	     0
9001.38	1.93788
9001.38	     0
9001.46	     0
9001.46	     0
9001.46	     0
9001.46	     0
9001.46	0.46184
9001.46	     0
9001.54	     0
9001.54	     0
9001.54	     0
9001.54	     0
9001.54	1.28384
9001.54	     0
9001.79	     0
9001.79	     0
9001.79	     0
9001.79	     0
9001.79	1.1763
9001.79	     0
9001.87	     0
9001.87	     0
9001.87	     0
9001.87	     0
9001.87	2.63934
9001.87	     0
9001.88	     0
9001.88	     0
9001.88	     0
9001.88	     0
9001.88	1.57572
9001.88	     0
9001.97	     0
9001.97	     0
9001.97	     0
9001.98	     0
9001.98	1.23981
9001.98	     0
9002.14	     0
9002.14	     0
9002.14	     0
9002.14	     0
9002.14	2.29362
9002.14	     0
9002.3	     0
9002.3	     0
9002.3	     0
9002.3	     0
9002.3	5.81672
9002.3	     0
9002.37	     0
9002.37	     0
9002.37	     0
9002.37	     0
9002.37	0.924284
9002.37	     0
9002.4	     0
9002.4	     0
9002.4	     0
9002.41	     0
9002.41	0.395629
9002.41	     0
9002.54	     0
9002.54	     0
9002.54	     0
9002.54	     0
9002.54	1.65679
9002.54	     0
