Energy (eV)	Intensity
9005.13	     0
9005.13	0.0577444
9005.13	     0
9005.17	     0
9005.17	0.363543
9005.17	     0
9005.19	     0
9005.19	0.380964
9005.19	     0
9005.33	     0
9005.33	0.081795
9005.33	     0
9005.33	     0
9005.33	0.0868175
9005.33	     0
9005.46	     0
9005.46	0.338717
9005.46	     0
9005.49	     0
9005.49	0.396031
9005.49	     0
9005.54	     0
9005.54	0.119995
9005.54	     0
9005.55	     0
9005.55	0.0759976
9005.55	     0
9005.69	     0
9005.69	1.49814
9005.69	     0
9005.7	     0
9005.7	 2.378
9005.7	     0
9005.88	     0
9005.88	0.198604
9005.88	     0
9005.9	     0
9005.9	0.0899745
9005.9	     0
9005.92	     0
9005.92	0.181929
9005.92	     0
9005.92	     0
9005.92	0.0469245
9005.92	     0
9006.03	     0
9006.03	0.742871
9006.03	     0
9006.03	     0
9006.03	0.992073
9006.03	     0
9006.12	     0
9006.12	0.269206
9006.12	     0
9006.14	     0
9006.14	0.263409
9006.14	     0
9006.19	     0
9006.19	0.22475
9006.19	     0
9006.21	     0
9006.21	0.28568
9006.21	     0
9006.24	     0
9006.24	0.124185
9006.24	     0
9006.26	     0
9006.26	0.13357
9006.26	     0
9006.34	     0
9006.34	0.253335
9006.34	     0
9006.36	     0
9006.36	0.311538
9006.36	     0
9006.44	     0
9006.44	0.659296
9006.44	     0
9006.45	     0
9006.45	0.726655
9006.45	     0
9006.53	     0
9006.53	0.312285
9006.53	     0
9006.54	     0
9006.54	0.400968
9006.54	     0
9006.61	     0
9006.61	0.506211
9006.61	     0
9006.62	     0
9006.62	0.613606
9006.62	     0
9006.76	     0
9006.76	0.211375
9006.76	     0
9006.77	     0
9006.77	0.325688
9006.77	     0
9006.79	     0
9006.79	0.379816
9006.79	     0
